Area_Name,Latitude,Longitude,Crime_Rate,Lighting,Police_Distance,Time,Crowd_Density,Risk_Level
Sidhgora,22.810264,86.191393,3,Good,0.61,Night,High,Low
Boram Basti,22.843349,86.219442,4,Poor,4.1,Night,Low,High
Sitaramdera,22.769792,86.166125,6,Poor,0.96,Day,Low,Medium
Karandih,22.814572,86.21066,5,Good,2.75,Night,Medium,Medium
Lal Building,22.801244,86.182619,1,Good,0.48,Day,High,Low
Mango,22.830498,86.201416,4,Poor,0.94,Night,Medium,Medium
Pathargora,22.804201,86.200611,5,Poor,0.1,Night,Medium,Medium
Birsa Chowk,22.796636,86.185713,6,Poor,0.45,Night,Medium,High
Bagbera,22.827465,86.227893,5,Poor,2.81,Day,Low,Medium
Bagbera,22.831155,86.228815,4,Poor,3.21,Day,Low,Medium
Sakchi Market,22.806299,86.200457,3,Good,1.17,Day,High,Low
Sidhgora More,22.81071,86.193661,4,Good,0.46,Day,High,Low
Parsudih,22.801801,86.171481,5,Poor,2.01,Day,Low,Medium
Bistupur,22.797518,86.184446,4,Good,1.09,Night,Medium,Low
Parsudih,22.799979,86.171347,2,Good,2.62,Day,Medium,Low
Sidhgora,22.80894,86.19013,4,Poor,0.55,Night,Medium,Medium
Bistupur,22.796685,86.189219,5,Poor,0.17,Night,High,Medium
Sakchi Market,22.806356,86.20276,1,Good,0.72,Day,High,Low
Baridih,22.833251,86.187161,3,Good,1.58,Day,High,Low
Burma Mines,22.824703,86.178315,8,Good,3.31,Night,Low,High
Bistupur,22.796034,86.185655,5,Poor,0.23,Night,Low,Medium
Marine Drive,22.770627,86.159841,1,Good,1.68,Day,High,Low
Jharkhand Colony,22.783987,86.205773,6,Poor,1.76,Night,Low,High
Mango,22.829581,86.200676,5,Poor,1.13,Night,Medium,Medium
Telco,22.766873,86.155987,7,Poor,0.95,Night,Low,High
Adityapur,22.784991,86.134101,2,Good,0.1,Day,High,Low
Jharkhand Colony,22.783562,86.204107,4,Good,1.86,Day,Medium,Low
Parsudih,22.798813,86.167371,2,Good,2.44,Day,Medium,Low
Sakchi Market,22.80393,86.201412,6,Poor,1.19,Night,Low,High
Azadnagar,22.806774,86.196307,4,Good,0.34,Day,High,Medium
Boram Basti,22.842481,86.215061,9,Poor,4.61,Night,Low,High
Jharkhand Colony,22.784899,86.20383,8,Poor,2.19,Night,Low,High
Bhalubasa,22.760826,86.145005,1,Good,1.84,Day,Medium,Low
Boram Basti,22.845132,86.217074,2,Good,4.18,Day,Low,Medium
Jharkhand Colony,22.782878,86.206796,6,Poor,2.25,Night,Low,High
Gamharia,22.767571,86.118221,9,Poor,1.49,Night,Low,High
Sitaramdera,22.770424,86.166055,5,Poor,1.45,Day,Low,Medium
Lal Building,22.798945,86.186273,3,Poor,0.13,Night,Medium,Medium
Lal Building,22.798539,86.18418,3,Poor,0.1,Night,Medium,Medium
Dimna,22.74314,86.2102,8,Poor,3.11,Night,Low,High
Lal Building,22.801879,86.183288,5,Poor,0.4,Night,Medium,Medium
Azadnagar,22.808309,86.193945,3,Good,0.71,Day,Medium,Low
Ulidih,22.790756,86.20764,1,Good,2.33,Day,Medium,Low
Marine Drive,22.773212,86.160043,2,Good,0.67,Day,High,Low
Bistupur,22.795865,86.188298,3,Good,0.1,Night,Medium,Low
Azadnagar,22.803551,86.197642,2,Good,1.48,Day,Medium,Low
